input,class
i have to say that i am pleasantly suprised and i will most likely stop in again if i am in the neighborhood,2
ask for usha the nicest bartender in manhattan,2
the service is outstanding and my crabcake eggs benedict could not have been better,2
the places decor and hidden bathrooms made for a good laugh,2
this is a true gem of the village,2
its location is good and the fact that hutner college is near and their prices are very reasonable makes students go back to suan again and again,2
however i think jeckll and hydes t is one of those places that is fun to do once,2
they treat me like family morning and night,2
a wonderful place,2
please take my advice go and try this place,1
service was on par but not wonderful,0
for my birthday and we had an excellent time,2
deliveries often take up to an hour and the prices are higher than most other pizzerias in the area,0
i went to amma after a friend recommended it,1
im just reading some of these reviews and its nonsense that people are reviewing some places because it was too loud,0
kind of a small place but i guess if they are not too busy might be able to fit a group or kids,1
maybe tomorrow,1
we also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them,2
please dont fool us,0
ive had the chicken with garlic sauce chicken with black bean sauce and hunan chicken,1
because of the delicate thin crust takeout pies get soggy in their boxes,0
i suspect this restaurant is what raos would be if it hadnt turned exclusive,1
the dish had like 6 pieces of beef in it,1
strike up a conversation with the attorney next to you or with the local union worker on the other side,1
we were then shooed inside,1
we got in line and were served while in line a bannan fritter,1
it might have been a little too spicy for my friend which you can couteract with eat more rice and keeping water on hand,0
this place is always very crowded and popular,2
appetizers are somewhere around 7 each and the main dishes are between 11 and 16,1
really depends on your luck,1
just went here for my girlfriends 23rd bday,1
my wife and i went to orsay for valentines dinner,1
i dont know about you guys but when i go somewhere to eat i go for the food not for the atmosphere,1
they should have called it mascarpone with chocolate chipsgood but a far cry from what the name implies,0
a gentleman maybe the manager came to our table and without so much as a smile or greeting asked for our order,1
very different than regular dimsum places,1
i have lived in ny for many years and have dined at many restaraunts,1
when you enter you feel like you have entered your moms kitchen,1
we were tired and cold when we got to the restaurant then we sat down to begin ordering appetizers,1
ive had pizza both times and the caprese salad appetizer,1
she lives nearby but had never gone to this establishment thinking that it might be too touristy,1
he was terribly thirsty after the meal too,0
and when i visit her i make it a point to eat at ino at least once daily if not once for the whole trip,1
i wasnt there for the halfprice saturday night special but tuesday night,1
in fact it appears he is going to go postal at any moment,1
there was a small group of us looking somewhere to eat kinda late on a weeknight and we ended up at pastis,1
for meetball night,1
if you like the food and the value you get from some of chinatown restaurants this is not the place for you,0
they are opening two more places as i saw a flyer there one in yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey,1
want to impress,1
the selection changes frequently but the basic dishes are always available,1
weve lived in the area for more than 8 years,1
get the soup and a nosh pastrami sandwich for 8 and youre golden,2
i have to say that if this what makes it easier to get a saet a lunch i dont mind,1
my family and i ate here last night for our annual christmas dinner with the family members who would rather spend the holidays with friends outoftown,1
i grew up on these bagels,1
we were told that they were booked solid and no other table was available,1
the restaraurant is very small so reservations are a must,1
visited there while on vacation and reading the reviews,1
a one women show,1
you cant go wrong here,1
at first i was rolling my ideas of yet another french place on the ues,1
to my right the hostess stood over a busboy and hissed rapido rapido as he tried to clear and reset a table for six,1
in china the phrase for a good restaurant is hot and loud,1
after dealing with subpar pizza all over the kensington neighborhood ive found little toninos,0
i thought this place was totally overrated,0
then we ordered a dinosaur rolls and white tuna sashimi,1
you wont find that anywhere in manhattan,1
how do you rate home,1
i went here in the afternoon with a friend,1
our first greeting when we entered was the last call is at 1015,1
interior was so so,0
im partial to the gnocchi,1
i guess the way my friends and i described it was the french colonies,1
they were able to squeeze me in at 6 after i called the night before my anniversary for a friday night reservation and told me theyd treat us well for the occasion,2
boy was i wrong,0
i visit new green bo when i have money or when i am broke,1
note that they do not serve beer you must bring your own,0
we ate outside at harus sake bar because harus restaurant next door was overflowing,1
when we walked in it seemed like it was there for 200 years,1
ahhh,1
better than the bagel shop on the corner but not worth going out of your way for in my opinion,1
it helps if you know what to order,1
the service was typical shortorder dinner type,1
we shared a bottle of sake an order of edamames and she had the sushi plate while i had the sashimi,1
i cant believe people complain about no cheese sticks,0
but that is highly forgivable,0
from the appetizers we ate the dim sum and other variety of foods it was impossible to criticize the food,1
when we arrived at 600 pm the restaurant was practically empty,1
each table has a pot of boiling water sunken into its surface and you get platters of thin sliced meats various vegetables and rice and glass noodles,1
i am going to the mid town location next,1
experienced staff and had a memorable stay,2
india as a country has always fascinated me and all of my friends who have been there always have wonderful things to say about it,2
one of my friends who had been there before was planning a weeklong trip to rajasthan in india and i decided to join him this time,1
yes it really was a great experience and we visited various places but the most wonderful part of the trip was our stay at the oberoi udaivilas luxury hotel,2
i can t explain in words how grand this place looks,2
it is a unique blend of the old world royal charm and the modern luxuries,2
i m definitely going there again whenever i get a chance,2
bit pricey and but away from center,1
you need to count 20 30 minutes walking time to get to dubling city center from this hotel,1
there is no sauna nor swimming pool,1
flat tv with discovery but no hbo,1
in my room mattress was ok and it was quiet but i had room with view on wall most of colleagues were complaining for the mattresses being old and some for noises from outside train in particular,1
service on the other hand was very good and the stuff is quite international,2
but still i had to ask for the welcome drink voucher,1
we ve got special price of 160 eur night normal price was 199 eur night including breakfast,1
i think it s too much for what it offers,0
relax in the city,1
perfect hotel to discover köln just out of the real center only 2 stops with the u bahn,2
easy to reach by car and there are enough parking places,2
the wellness facilities are perfect but can be crowded on saturday,2
clean renewed rooms,1
quite comfortable hotel in excellent location,2
have stayed at the carlton in amsterdam quite a number of times,1
have also stayed in other hotels and to me nh carlton is definitely the best,2
very close to flower market pathé cinema bars for every kind very convenient nearby tram stop,2
breakfast in superbly decorated and furnished lounge is delicious though somewhat overcharged so try to book your room at the nh carlton breakfast included and view on the city is great,2
rooms are spacious and neatly decorated,2
dam square is only a few minutes walk or 2 tram stops away,1
a definitely highly recommended hotel,2
titanic mutinee,0
clean sizeable room with good facilities in the part of the hotel we were in,2
there were larger and smaller rooms than ours,1
we were in the 2300 range of rooms,1
food very basic,0
although edible it was very very borring,0
the all inclusive spirits had a perfume taste to them,1
vodka rum brandy whisky although were diffrent had a similar perfume flavouring,1
i know some people complained,0
service of all staff was wonderful,2
but a lot of them let you know they wanted tips,1
there were a rody russian contingent at the hotel which broke out in fighting on at least one occassion,1
beautiful honeymoon,2
the hotel is easily one of the classiest establishments i have ever had the honor of staying at,2
the staff was extremely friendly the layout was superb the architecture was elegant and the sea was literally a few steps from our hotel room,2
beautiful views were only made more beautiful by this hotel s landscape architecture and friendly staff,2
cheap and noisy hotel with good location,2
the hotel is located near place de opera in a side street,1
the location is probably the only good thing about this hotel,2
it is noisy thin walls doors i woke up several times because i thought someone was entering my rooms smelly very small and dirty,0
i was glad that i didn t have to take a shower in there the bath tub was dirty and used,2
even though the price is decent for paris i would not recommend this hotel,0
basic hotel outside the amsterdam,1
quite ok hotel next to amsterdammajor advantage is free parking and subway station within 8 mins walk,2
there is nothing but highway close to hotel,1
in 5 minutes drive you can find mcdonalds,2
very well conected to amsterdam city center 8 min walk 25 mins subway,2
our best holiday stay ever so far,2
we have just arrived from this marvelous place,2
we had experienced our best holiday stay ever so far,2
we have been very plaesantly surprised we liked the overall location and the hotel itself even more we had expected to do so based on the reviews and photos available online,2
we would like to stress the preciseness and quality of tha staff s services especially in the restaurant,1
special thanks to the animators oscar mehmet dasha katya anna maryem and sabri that made a great effort to keep us entertained all days and nights long,2
thank you guys it was great fun,2
hope to see you and this great place again,2
good hotel for a business trip,2
overall good hotel,2
nice lounge on the top floor,2
the room was clean big air conditioning,2
there is a little gym in the first floor,1
the breakfast is correct,2
the wifi internet connection is good,2
best for couples extra tips for you,1
the hotel looks spectacular,2
it is very colorful and perfect for a romantic getaway,2
i have been staying in the older part of the hotel and i have been told that they just opened the new wing that week,1
they could work a little on dusting the place better some of the lamps and decorative items were full of dust,0
some of the items in the room looked old and cracked the chair was damaged the cabinets looked re purposed,0
this should not by any means deter you from staying,1
it is a wonderful romantic cozy spot where you could cuddle with your darling in the most dreamy way,2
the bed was exceptionally comfy,2
guests are 20 35 yo,1
good location but expect better from this chain,2
it s in a pretty good location just a few steps from the strip right behind flamingo,2
that was a huge plus for us as you can really easily walk all places of interest,2
however the bathroom door were broken and they messed up our reservation not good after 11pm when we were already tired from a whole day spend in vegas but compensated for that with a voucher to spend on food shopping in the hotel,0
no balcony cannot open windows,0
problems can happen at any place of course so i d say you can stay there as the location is pretty good and maybe someone else s experience will be better but i ve stayed in better hotels of theirs,2
my best honeymoon,2
this is a seven star hotel,1
i would call it as rixos super premium,1
the suprise for honeymooners was very special to us,2
all the entertainment a tourist would like to have from music tournaments swimming pools beaches video games cinema etc are available,2
rooms are very clean,2
employees are very helpful and kind and do their best to keep customers comfortable especially mr ihsan,2
he was very nice,2
the employees know most of world main languages english german russian arabic etc the last thing that i would like to say is you can find all kinds of food from different regions of the world,1
very recommendable b b with extremely kind staff,2
it is part of an old palazzo recently renovated and adjusted to modern standards including free wifi,1
it has 6 large rooms on the first floor each with a different name of a flower,1
although the entrance of the building is in front of the via di pantaneto a road with less traffic nearly all rooms are at the rear with a splendid view at siena s countryside,2
to enter the b b you have to climb 20 steps to reach the first floor so the b b is less accustomed to handicapped people,1
there is no elevator but the owners a young couple are very willing to help you with your luggage,2
paradise on earth,1
we felt us on our holiday like in paradise,2
the friendly welcome in the hotel the generous size of the room the cleanliness overal the big size of the room and the bathroom was very great,2
the location and surrounding is very lovely arranged,2
we were very suprised over the staffs knowledge of foreign languages,2
the weather was every day fine the beach was great,2
we liked the generous variety of food at the different restaurants,2
we would like to visit the dana beach resort again,2
a great thank to the whole staff of dana beach,2
it was a great pleasure to be with you,2
best holiday we have had in years,2
the hotel is very clean and tidy it is in a beautiful setting and very spacious,2
we had two rooms next to each other on the ground floor looking out to the pools,1
we preferred to use the sunrise restaurant apposed to the sentido as we found the service much better and the air conditioning worked better although both had the same food with we think could have been better as the meals were aimed more for the russians and egyptians,2
the guests were mostly russians and egyptians and only a few english most of them were families with young children that took over the pool area,1
good value for money,2
very good value for money competent and friendly personnel willing to help and offer a good service,2
excellent room space and cleanliness,2
very good restaurant and bar,2
the location is excellent too close to the central square which makes it very easy to walk around,2
breakfast is not bad but not as good as food in the restaurant however the coffee is not good,0
wifi is free but not stable making it annoying when you lose connection and have to login again,0
centrally located but low value hotel,1
for 160 without breakfast i believe i should get a decent room also in paris but this was not the case,1
the room size is unbearable and the bathroom is even smaller,0
asked for an iron than never arrived they offered me access to the full continental breakfast what a shame and they even charge some 13 for that,0
not recommended at all,0
titanic beach spa aqua park,1
during my stay here at titanic i had a nice welcome by the reseption and the general mangers then we had a nice meet again with the animation staff we had a nice big room for us as a couple and a nice pool view the dinner was always nice there was never a nite were we could not find something to eat the hotel was well looked after and the bar staff and waiters were all help full,2
the great thing we found this time around we had a welsh animator to speak with if he had any problems,2
good but the restaurant is a dive,0
for fast in and out as business traveller for a couple of days it is ok but key hotel and swisshotel are far better and offer more for the business traveller in terms of service,2
the sports pool area is boring and small,0
only plus is the view of the city from the fitness room,2
the roof top bar is great and unmatched by other hotels,2
the restaurant is ok for breakfast but incredibly boring for lunch and dinner,0
sensational located superfriendly hotel,2
top of the tops,2
the staff was frienly and the rooms were new renovarted in a luxury modern style very clean and fine a lot of opportunitys possible and an ideal hotel for a buiseness stay or city trip,2
excellent hotel service,2
very happy with food,2
ignore the complainers,0
if you are one dont expect macdonalds or fish chips if you go to a foreign country,0
the five free restaurants gave an excellent choice of food although beach bar was just chips burgers hotdogs occasional bbq fish and salad,2
all staff very friendly and service was excellent,2
these were the typical views of the vast majority of british people we spoke to at the location too,1
booked through flights and packages who were excellent,2
nicest hotel ever,2
this was my favourite holiday place i have ever been to,2
will definitely be retuning advise people to go here for a great holiday,2
people are great,2
staff are great and the whole holiday package was fantastic,2
definitely not a five star hotel,0
first impression was good,2
excellent check in and given all information needed,2
then started realizing that the money we paid were far too much for what we got,0
all staff excellent and always willing to help but lack of management and easy to see that services not even close to 5 star,2
choice of food very poor not enough staff so employees were running like crazy and you could tell there is a lack of management,0
5 stars,1
great design hotel where every detail is looked after,2
the villa was very spacious with living room with private terrace fantastic bathroom and a really nice bed,2
staff was always happy to comply with our wishes,2
absolutely unique pools,2
excellent restaurants offering a wide range,2
they steal your stuff,0
in 2011 i stayed there with my fam,1
i bought a pair of converse sneakers,1
i thought it would be safe to keep them in my room,1
the next day i found out that my new converse were stolen,0
the manager of the hotel didn t do anything,0
he promised me he would contact me but he never did,0
i will not recommend this hotel to anyone,0
and they will never have me as a guest again,0
never again,0
loud and noisy despite rule tat fron 22 00 everything must be quit staff says bad luck also staaf was responsible for serious damage on my motorcycle which was put in a bike shed only they could enter,0
no adequate respons to that,1
so same price as cheap hotel crappy room food is horrible we left it and went into town for food no night rest and a few 100 euro damage on motorbike,0
level club at melia,1
it s michel and pamela,1
we took the package of the honeymooners and we spent one of the best holidays ever,2
having the level member offer we had several vip services free mini bar refilled bottle of wine as a welcoming reception vip restaurant for breakfast free lounge bar access alcohol sweets tea coffee discount on several things restaurant laundry shopping areas clubs,2
vip area at the pool and in the garden special spa treatment and many other special services,1
the service at the level lounge bar was amazing there was a hostess named anna she was so friendly smart very elegant and treated us as vips,2
she deserves an excellent rating too,2
overall all the stay was wow as we have amazing 8 days at a luxurious hotel,2
we will surely visit it again next summer,2
cozy french hotel near to monmarte,1
it was really cozy french style hotel because it was small but still quite nice if you don t expect much of a hotel,2
it really inspires to go out and spend more time at the city and paris is worth to explore definitely,2
monmarte is really near about 1mile so it great to walk around hotel and this part of the city is not so crowded so location is excellent,2
metro buses and train stations are near,1
staff is not the most positive persons in the world but still helpful and understanding if you need something,2
for business trips as well as for short stays great place to stay at,2
as a hh diamond i booked a standard guest room and got upgraded to an executive room,1
even though the hotel is build in the 70s everything was in good shape,2
lobby executive lounge and room left a good impression,2
the rooms are on the smaller side but again my room seemed to be in good shape,2
as a diamond you get the choice of breakfast either in the exec,1
lounge or restaurant,1
as i had a very early flight i did not get a chance to try the breakfast,0
checkin was fast convenient and friendly,2
with a rate of 95 the price was good food an airport hotel,2
would recommend when in transit,2
the most enjoyable vacation for me and family,2
it s one of the best holidays we ever had in hurghada,2
we decided to visit dana beach resort again in our next holiday,1
thanks to the friendly stuff excellent management it was the best holiday,2
marriott standard but room was not clean enough,0
location 2 blocks form the beach in the heart of art deco district,1
room size was good but i had impression that it was not cleaned properly perhaps because we asked and got early check in,0
bathroom was rather small but washbasin was in the room which i thought was a great idea,2
in the room there was coffee machine,1
i can not rate breakfast as we did not eat there but there is little shop in the lobby where you can buy food all the time,0
i loved rooftop swimming pool,2
it was not big but view was nice there were towels and relaxation area there,2
reception staff was very friendly,2
ideal for late arrivals,1
i often travel to paris with our head office being located at stade de france,1
my usual mo is to fly in on the last flight the night before arriving at cdg around 10pm and then stay at the novotel which is at t1 for the cdgval basically a monoral that connects all of the terminals,1
then first thing in the morning i can get up have breakfast and then take the rer b directly outside the door of the hotel 25m from the door straight to my office or into paris,1
i personally will not take the rer late at night as i do not feel it s safe,0
three stars stated but where,1
this hotel has only one great thing the friendly staff,2
it is worn down not clean and the whole hotel looks like a mess,0
the only positive is that they are offering free internet in the lobby some welcome drinks buffet and friendly reception staff,2
location is close to the station but this hotel was all in all quite an unpleasant experience looking into the hotel hardware,0
room tip best rooms are in another hotel not there,1
ancient charme outside very modern inside,1
great place to stay for extended weekend,2
perfect location allows to visit all interested places in barcelona,2
as breakfast in the hotel was an expensive option we decided to go to famous cafe zurich 100 meters only every morning and enjoy lovely weather and many peple going around,2
while staying in the place you have easy access to hop hop bus tour coach to the airport and corte d ingles which is wonderful store,2
hotel interior is very modern and elegant,2
our room was unfortunately very small but the bed were very comfortable linen very clean,2
we had perfect time while staying in regina,2
definitely can be highly recommended,2
18th century luxury with modern comfort,1
the old villa was recently restored and it was great to have all modern comforts in the luxury of an 18th century palace,2
the room was ideal for a romantic stay large comfortable bed separate furnished dressing room and well equipped bathroom,2
although we did not have dinner in the very elegant restaurant we had a great breakfast with a lot of choice and a view on the splendid surrounding gardens,2
would recommend having a car to visit the surroundings as the village where the hotel is located is rather small and uninteresting which makes you want to spend even more time in this beautiful hotel,2
economically priced hotel,1
this is just a hostel if you want to save money for your stay,1
i enjoyed the central location it was very near to the barcelona s main touristic street la rambla,2
there is no lift it s very difficult to climb upper floors with your luggage through the narrow stares,0
hardly i ll stay in this hotel again but in general i liked it,2
great stay at ibis bilbao in november,2
it is one of the ibis chain hotels and as such it offers a business oriented services everything is clean the amenities are well known at the time of booking,2
not a place for family with kids or if you are used at 4 5 comfort,0
the place is good enough for couples in leisure holidays or for business trips,2
great location not far from the city centers and we never needed any bus ride during our stay,2
many restaurants are close by the receptionists have been happy to give a recommendation about cheap place to eat and the best neighborhoods for pintxos hopping,2
in a few yrs maybe,1
fab location and great views management could be better some parts of the hotel were dirty whole public areas needs refurb bit tired restaurant was good as long as feyyoz was our server he was very attentive and made us laugh alwys got us drinks when we sat down and always made us welcome ala carte italian was awful so we didnt try the others but heard the fish one was good service at the bar was very slow they were more interested in washing up,2
we had great time and would go back in a few years when it has been refurbed and better management,2
really poor food at this hotel for brits,0
hi just got back from the mamlouk palace the hotel looks every bit of a five star hotel however on close inspection its more like an average 2 3 star,1
the egyptian people are so friendly and happy to talk to you there s a really nice atmosphere in the hotel itself even though the other guests can be so rude mainly russians its lovely and clean but the food is very very poor breakfast was cold most days and if honest they really don t cater for brits,2
although i wouldn t say this was a cheap holiday it didn t break the bank either so if you want a guaranteed tan go to egypt if not and its your main summer yearly holiday i wouldn t recommended it i d go somewhere else to avoid disappointment,1
best hotel we have been to,2
this hotel has everything,2
everything is very clean and well looked after staff are very friendly and helpfull lots do do all in all its an excellent place to stay we will be going back soon,2
treated like royalty,1
the hotel was a little bit shabby on first appearances but the room was absolutely fine,2
the beds were changed daily and the cleaners added little extras like positioning my son s teddy in different ways and making animals of the towels,1
because there are so few english who stay here the staff are delighed to talk to you,1
they made a point of giving us the best sun beds and towels etc and were telling the russians there was no beer then bringing out special bottles for us,2
the food was a disappointment although there was plenty of variety,0
it was all overcooked and luke warm,0
good budget option on strip bit rundown,2
i went with my father and we found a deal online that was too good to pass up,2
i think the luxor was a much better hotel 10 or 20 years ago but it seems a bit run down now,1
still decent option though if you want to be on the strip for a good price,2
cheap but that is it,1
my girlfriend and i arrived early in the night after a long day of paris,1
as we were checking in we heard the uproar from the first floor and out came a half naked woman standing while a man was running after her and yelled and screamed until other guests came out and stopped him,0
scary,0
in addition the room was in quite disgusting condition and the bathroom is like a toilet trailer that has been placed in the room,0
we decided to make do with as little sleep as possible and ran as fast again,1
but if you re looking for a bed and nothing else this is a possibility,1
check in is at a machine which disclose your room card key and there is thus no reception at least not at night,1
antwerp lindner may 2013,1
comfortable modern hotel close to central rail station in antwerp and shops and restaurants,2
hotel room was too warm air conditioning not powerful enough to cool room,0
no ironing board and iron in room small table top board and non steam iron is supplied when requested but to be honest are useless for removing creases in cotton shirts,0
reasonable breakfast but no low fat options for milk yoghurt cereal etc compared to my recent visit to denmark scandic hotel,1
this is a big issue for me and i d like to see low fat options available,1
fruit choice is not large,1
i didn t try the cooked breakfast,0
i haven t tried the gym but been to see it quite small but new equipment available,1
super hotel perfect service poor beach,2
everything perfect but the beach too steep and dangerous waves red flag had to walk outside the hotel to have access,1
but we layed on the stretchers on the lawn with super service so it was not so bad,2
never again,0
this campsite is the most expensive i have ever stayed at with some of the smallest pitches,0
the ground is hard and the tent pegs do not stay in,0
the owner appeared friendly at first but then started shouting at me when she mistakenly thought that i had broken a piece of trimming of the side of her freezer,0
the redeeming feature is the location if you are interested in climbing it is in walking distance of a wide variety of climbs,2
however this does not make up for the expense and lack of space,0
beautiful hotel with amazing staff best holiday,2
the room was lovely cleaned really well everyday with a beautiful view food tasted good and there was lots of choice the hotel is the nicest i have ever stayed in and exceeded my expectations,2
nice,2
i was there at first dayw of june with my wife weekend and and for more days again in augoust with our chidren 18 15 years old,1
we all enjoyed a lot,2
i hope to be there next summer for more days,2
absolutely not value for the money,0
we were completely dissatisfied with the owners unfriendly attitude the room was a lot different from its foto in the hotel s internet site and the room was smelling as bad as being in a hospital,0
dana beach resort the place to stay in hurghada,1
nice spacious and yet compact hotel area with all the things you want for a beach holiday inside the hotel area,2
lots of restaurants to choose from friendly and humorous staff good facilities and some activities and peace and quiet for those who want that,2
mostly german guests 50 years old,1
some families with children also,1
not a partyplace in a good sence,1
a nightclub right across the street,1
a beautiful wellness hotel,2
two days wellness and a wonderful massage,2
the hotel is nice and clean and the service is great,2
the restaurant is good only for vegetarian there is too little choice,2
the sauna is a little bit small there are only two of them but clean and nice,2
excellent hotel,2
good situation,2
friendly staff,2
excellent hotel,2
well located for access to town,1
quiet location,1
were given a free room upgrade which made it even better,2
would stay again if revisiting the town,1
no problems whatsoever,1
relax,1
we stayed at villaggio il girasole for two weeks at the middle of july,1
the camping village is well looked after and provided with many comforts restourant supermarket bar two swimming pools one for adults and the other smaller for the children,2
it s situated in the middle of the pinewold there are a lot of mosquitos so bring along some lotion against them near the sea,1
the sea is beautiful the water is clean and trasparent,2
the cottages are very comfortable pretty and clean,2
at restourant you can eat typical tuscan food very good pizza was special,2
kind and friendly employes at the reception supermarket and bar,2
the atmosphere is very good,2
we are going to visit it again next year,2
good quality for price,2
the hotel has a good position close to the city center and the train station,2
quite some restaurants are in the surrondings with a good choice of food,2
the hotel doesn t have an internal restaurant however there are two options a small restaurant just next to it or the hallmark hotel restaurant just across the street discount applied to customers of the hallmark inn,1
noticeable the free parking for all hotel and inn customers,2
quality of the hotel inside is good rooms are simple but clean and furnished decently well,2
being a budget hotel the ration between costs and quality is fairly good and there s also free internet connection wifi only,2
best hotel,2
i ve been back to this hotel three times now as my experience each time was amazing the rooms are clean and comfortable and the hotel considering its 20 years old is in amazing condition,2
it s located on the end of the strip but do not let that put you off,1
this hotel is awesome,2
and the pool has no shadows on it at all,1
inclusive or all inclusive that is the question,1
lovely and clean nice rooms nice location,2
paaid for all inclusive but this was not exactly what i received for this i had to pay extra all inclusive to this hotel is meals in the main self sevice restaurant does not include any other restaurant on the site the local fish market evening was extra as well as the ala carte they do give you a rs375 off the ala carte menu which is an insult due to the price charged for self service,0
there is no wine included in the all inclusive not even with meals this has to be paid extra no liquires,0
you can pay exrra for these by paying for a gold all inclusive package,1
great hotel kind personnel delicious food,2
we got a two day trip to this hotel for our wedding so we didn t choose it ourselves,1
we re glad though that our friends picked this hotel,2
it s a very warm and comfy hotel which makes you feel at home right away,2
our room was small but sufficient,2
it was definitely clean which is most important to us,2
the bathroom was pretty new and also absolutely clean,2
we enjoyed breakfast and one dinner at the hotel and it was both great,2
we had a 4 month old baby with us and the personnel was very keen to find a good table for us and the stroller,2
there is a small park right next to the hotel which is nice to take a walk,2
the center of trier is just a 10 15 minute drive away,1
all in all we enjoyed the hotel very much and can recommend it,2
nice hotel in the centre of nes,2
nice accomodation with a really great breakfast,2
it is really close to the centre of nes and you are within minutes at the beach with the bike,2
the rooms were a lot smaller than expected and the bathroom had mold between some tiles so that s why we rated that part lower,0
amazing wellness facilities at dorint an der messe,2
dorint an der messe cologne is a very nice 4 star hotel,2
the spa and wellness facilities were better than we hoped we would get in a four star hotel compared to some five star hotels we stayed in,2
the pool jacuzzi and sauna were very clean and relaxing,2
the room standard room had all the comfort you need and the breakfast we had was excellent,2
the tables were clean and the staff was friendly and it wasn t over crowded at all,2
if we plan another visit to cologne we would certainly stay at this hotel again,2
very disappointing over priced and rude staff,0
hotel is very over priced considering that you get dated rooms with old and hard linen towels etc poor selection and quality of food at breakfast and many parts of the hotel were closed or under refurbishment rude and unfriendly staff ruined our stay and the hotel boasts about its art collection when it should pay more attention to customer service and standards for guests,0
dana beach resort great,2
what can we say,1
the hotel is very very very very very very very excellent,2
no bad comments at all,1
the italian coffecorner columbus is great also the service of the staff is excellent,2
we will come back for sure,2
good price quality rate with good breakfast,2
good price quality rate,2
breakfast with a lot of choice very nice and helpful people,2
they are rebuilding the hotel,1
location is perfect,2
close to amsterdam and the highway,1
do not recommend the hotel yet because of the rebuilding noise and dirt of the builders,0
great hotel directly on the strip,2
we stayed at this hotel for 3 nights during our trip around the us over summer,1
the hotel was very nice,2
it was held clean and everyone was very friendly,2
the hotel is very big and it takes quite a while to get from one place to the other especially to get to the casino and the shops,1
it also takes quite long to walk through the entire hotel to get to the strip through the main entrance,0
but it is a very nice walk through pretty much the whole hotel,2
as the hotel was only built a few years ago it is not run down at all and is very modern,2
really a nice and modern hotel,2
this is a nice hotel very well located in the town of ness,2
it is modern and the room had a coffee tea machine for your own free coffee or tea,2
this was really appreciated by us,2
the staff was very helpfull and friendly,2
the bathroom was a little small but clean,2
good size tv,2
they serve a really nice breakfast,2
this hotel offers good value for money,2
the only missing thing was a hotel lounge where you can sit and relax or read a paper,1
a very pleasant place,2
this is a very pleasant hotel,2
the neightborhood is nice very central,2
it is few minutes away from everything you might need,1
the rooms are big and very clean,2
the bathroom is n extremely large but yet comfortable and clean,2
internet connection is free and high speed,2
a nice table to work in your room,2
definitively a good place for a business trip or a holiday,2
higly recommended,1
we had an excellent 7 days at the forum beach hotel,2
highlights included great staff nadia and petros are top great food nice apartment cleaned daily and a short taxi ride to the town center amp bars which we thought was great,2
we did daily tour to island of symi scuba diving and some shopping but mainly we just enjoyed the ai and relaxed,2
highly recommended,2
dust,1
the hotel is remarkable for his position in the town 10 minutes by foot to get to the nightlife rembrantplein,2
for the rest it is very dirty for example we found little insects in the room and the sheets were not well cleaned we found stains of i don t want to know what was,0
in addition the bathroom was very little and not you cannot use the sink if the door was closed because there was no space,0
it was not worth of the money we spent for it,0
great family friendly hotel,2
nice hotel with great staff,2
food a bit repeatative,1
not much choice for english,1
lots of eastern european food,1
the russians where happy i will go back to this hotel next year as we had a great holiday,2
quite nice hotel good value for money,2
stayed here for 5 nights in july 2012,1
this hi is what one would expect from hi although check in was quite swift but no upgrade for me as pc platinum member,1
stay was quite noisy as group of school children was staying at the hotel and they were making a lot of noise during the night but reception failed to intervene,0
you might be pleasantly surprised,2
our room was very clean as was the whole hotel,2
food was good always a very good choice in each restaurant,2
there are 5 restaurants and they are all very good,2
food was always hot too,2
neither of us suffered with delly belly,0
staff were friendly and helpful,2
the beach was always busy and had to get there early to get a sunbed,1
i had massages in the health club that is near the gym,1
i would advise to have treatments at the hotel health club as this is better and more professional,2
we did a few diving trips and a trip to mahmya island,1
go for steigenberger frankfurtter hof,1
the steigenberger frankfurtter hof is a great place to stay in frankfurt,2
location is absolutely top going shopping or doing business,2
the service is really top of the line and rooms are renovated in a very classy but modern style,2
i would rank this one among the top five of visits ever,2
a good choice,2
stayed at the ritz carlton south beach due to a conference and the experience was excellent,2
friendly staff great room good breakfast pool and gym,2
a good choice for those who enjoy comfort and luxury,2
wonderful time,2
we were traveling with our friend 4 couples,1
had a very good time nothing to complain except disco music needs to be adjusted when we went to disco there was just our group no more people and we ask dj to play some music from 80 90th and he plays only bob marley and some other music which is imposible to dance,2
we noticed that disco was always empty so change the music or dj,0
liked a lot the dancers but when guests entertain guest with stupid dansing and running around to take shoes and pants from the audience is stupid and borring,0
maybe some people like this,1
rooms food wonderful,2
beaches 3 are small and have rocks we had the water shoes if you come early at the beach don t expect towels until 830 900 am,1
overal resort is good,2
i would go back but bring my own music for disco,2
dorint hotel,1
will defiantly return to this hotel staff where lovely the lobby was welcoming hotel was in great condition and the rooms very comfortable köln city centre is only a short scenic walk from room,2
poor service poor hotel,0
this can not be a 4 stars hotel bad facility and the service is a disaster,0
an old country house locates in the middle of nowhere facilities are old heaters are not warm at night doors can only be locked using keys walls are not sound proof that allow u to hear everything breakfast costs 30 euro per person awful amp with little choices,0
the receptionists are rude and not even close to trying to help after checkouts when i walk out of the hotel this morning the blonde duty manager was literally putting her butt on the reception desk with one foot on the chair and talking bloody loud on her mobile this can not be a 4 star hotel,0
missed a flight in frankfurt,0
