|input
8371|However , the sauna / steam room area was not managed as well .
8372|I suggest the staff tell quests proper etiquette and dress for use of those facilities as well as additional signage so guests like us can enjoy the excellent facilities .
8373|Poor with very bad acoustic
8374|We have passed 2 nights at the hotel and it ´ s main advantage is the very central location just near the Great Wheel and the bridge .
8375|A táxi to Victoria station is about 12 pounds and it ´ s very close to Waterloo , 5 minutes walk to Big Bem .
8376|The major dissapointment was the room itself , very VERY little , bathroom with poor amenities and worse of all : you could hear everything from the rooms around .
8377|Literally it seemed as the neighbours were inside of our room .
8378|I remeber we booked the hotel mainly because of it ´ s central location and the price , but definately wouldn ´ t repeat my stay in there .
8379|Great all inclusive trip !
8380|My family went to Jamaica on a last minute trip .
8381|The Grand Palladium Lady Hamilton Resort was recommended to us .
8382|The resort is absolutely beautiful .
8383|The food is great · especially Bubba 's Steakhouse ( ate there twice ) .
8384|The service was excellent .
8385|The pool bartenders were extremely pleasant and always attentive of our needs .
8386|They knew what we wanted to drink as we approached the bar .
8387|It was an excellent time had by all and I would highly recommend this resort to my family and friends .
8388|An excellent place to stay with friendly hosts .
8389|Alphons & amp ; Martha are excellent hosts , most accommodating & amp ; helpful finding our way and with use of their facilities over and above expectations , without being intrusive .
8390|Breakfast was super .
8391|This would be our first recommendation for a quiet stay close to the city !
8392|Gerrit & amp ; Connie
8393|B.C. Canada
8394|4 star hotel amenities but 2 star service
8395|Hotel ambience is good .
8396|Breakfast is above average .
8397|Bar is very good .
8398|Gym is small but sufficient for standard workouts .
8399|Nice wellness and breakfast staffs .
8400|Polite and professional .
8401|Never tried the spa and swimming pool though .
8402|Free wireless internet connections available in rooms and lobby which made this hotel attractive .
8403|Also have several deskstop computers for guest use .
8404|Stayed for 2 months but don 't know who is in charge of the hotel .
8405|You would 'nt know who is the manager or supervisor unless you ask .
8406|Everyone looks the same and name badges gives no clue .
8407|As its located near the Schiphol Airport , at times may get surge of guests whose flights are cancelled .
8408|Lots of groups passing in the weekends .
8409|Trendy hotel in a nice spot
8410|The hotel is located on a good spot , public transport all around .
8411|A great shopping mall just around the corner .
8412|Some nice ( good rated ) restaurants outside the hotel as well .
8413|The hotel is lovely furnished .
8414|Breakfast is basic , however tasteful .
8415|Bar staff is friendly ( probably students ) .
8416|The reception staff is not very well English educated .
8417|If you speak some words Spanish it 's makes it all a bit easier .
8418|We had 3 complaints .
8419|1 one was solved perfectly , the other 2 below expectation .
8420|Overall we had a nice stay , on a nice place .
8421|Personally I prefer one of the other NN hotels .
8422|Beach & cricket
8423|We had a very enjoyable stay at the hotel .
8424|We were with a small group who came to watch the Test Match in Colombo .
8425|The drive to the ground was a lengthy 2 hours each morning as the roads are very gridlocked .
8426|The Hotel and Staff were very welcoming .
8427|The food was international hotel food , buffet style and was excellent .
8428|I would recommend this for someone wanting a relaxing time .
8429|Very welcoming !
8430|The hotel has ample parking , and a great lobby .
8431|The rooms were clean and comfortable ; the staff very attentive .
8432|Although we stayed at a very busy time ( the last few days of Octoberfest ) , the staff paid attention to detail and we felt very welcome .
8433|Make sure to go downstairs for a nice breakfast ; the buffet had a fantastic healthy selection !
8434|Make sure to unload your luggage at the entrance , as there is a set of stairs from the parking lot .
8435|A huge disappointment
8436|This hotel is not worth 3 stars at all .
8437|The rooms are tiny , the furniture , carpets and walls need an urgent refurbishment , and some cleaning would be nice .
8438|There was a strange smell in all of our three rooms .
8439|One TV didn 't function several times .
8440|There were nousy works going on , starting at 9 a. m .
8441|· good morning Paris !
8442|The good sides are limited to two : The location is excellent , and the breakfast was OK .
8443|Swiming swans in the pond and park view from lobby
8444|A pleasant location where you can just walk around the pond and be cared for in a very hospitable way in the hotel .
8445|The food and variety is great with a friendly staff .
8446|Well worth the money and time spent .
8448|Rooms is good but the restaurants specially the main restaurant the menus ls everytime same , child pool is to cold , a la carte restaurants ls very good , maxxiland is really good for the child and for us .
8449|The best hotel in Hurghada .
8450|i found the titanic beach and spa a fantastic hotel to stay in. i stayed for a month in march 2012 also a month in november 2012 and again a month in february 2013 the staff were fantastic .
8451|we are both disabled pensioners and my wife has a wheelchair nothing was too much trouble for them
8452|i would specially like to thank ahmed in reception and wojeck in administration.for all there help during our stay .
8453|A wonderful stay !
8454|Martha and Alphons are fantastic hosts .
8455|They are very friendly and knowledgeable about Spakenburg and the surrounding area .
8456|The rooms were neat , very clean , wonderfully decorated and comfortable .
8457|The breakfast was delicious and everything was offered · cheese , fruit , breads , juice , coffee , tea and chocolate sprinkles ( my personal favourite ) .
8458|The location is in a nice , safe , quiet street close to a supermarket and the bus stop .
8459|Good quality bikes were available to hire to get you into the town centre quickly .
8460|I will definitely be returning on my next trip to Holland !
8461|Very good and nice hotel .
8462|Very friendly personal .
8463|We are surely coming back to this very good hotel .
8464|Everything was great .
8465|Very very good .
8466|Food and drinks were great .
8467|There was nothing that we did not like at this hotel .
8468|Swimmingpools enough ! ! !
8469|I am very upset about this hotel !
8470|The room I was staying in was very old · fashioned .
8471|When you come in the door , on the left hand side there is a old cabinet and old commode with an very old tube television .
8472|I am no technical novice , but I tried 5 minutes hard , to get this TV working ... I even was thinking about calling the room service , to ask about the TV .
8473|After the TV worked , I settled down on my bed , but what was the first thing to see ???
8474|You guessed right , a big dirty spot on sheet .
8475|After staying 10 minutes in the room I was already really angry !
8476|Dirty public restrooms
8477|Friendly staff
8478|Surprising good stay !
8479|I stayed in a redecorated and refurnished room .
8480|That was a surprise .
8481|Had a very good stay for two nights .
8482|Restaurant was ok , although that atmosphere did not match the new room .
8483|But maybe the next stay that area will be done as well .
8484|Be sure to ask for a new room !
8485|Too expensive for ordinary service
8486|The only advantage of this hotel is location .
8487|It is located 7 minutes away by foot from Amsterdam cetral train terminal .
8488|The price is too expensive for such ordinary service .
8489|The room is too small , the bathroom is not clean , moreover , there was a problem with bathroom equipment · after the shower always water on the floor .
8490|The food was very usual · fast food on breakfast .
8491|The booking conditions were · free cancelation , but they charged me full amount with no explanation .
8492|I have spend 1 month to get my money back .
8493|It was employee 's fault .
8494|Anyway , think before making booking of this hotel .
8495|Holidays at the Titanic Beach hotel May 2013
8496|We stayed at Titanic beach for one week on May 2013 .
8497|Overall impression of the hotel is excellent , very nice suroundings , great distance to the sea , friendly staff .
8498|One thing that could have been better is the food · could be more of variety or a choice of local foods .
8499|The service that needs quite a big improvement is the Gold 's Spa .
8500|"The massage itself was good , but other "" ingredients "" of a spa treatment was not impressive , the staff talking to each other all the time in their language during all the treatment and that doesn 't help to relax ."
8501|But despite that we would definately recommend this hotel for holidays and we had a very good time there .
8502|Amazing hotel
8503|Hotel is very beaituful .
8504|There is a lot of bars and a la carte restaurants.We could easily make reservation for a la carte restaurants and we mostly liked to have a dinner in ottoman restaurant .
8505|Nice hotel with good wellness facilities
8506|Very nice hotel with good wellness facilities. the hotel is just a 15min walk from the city center .
8507|Don 't want to walk ?
8508|The tram stops just in front of the hotel .
8509|If you come by car , there is a car · park underneath the hotel
8510|Excellent
8511|Really excelent hotel , clean and beautiful room , comprehensive choice of delicious food and drinks in different restaurant , beach near the hotel , very nice people ( animators , waiters , cooks , receptionist , cleaning men ... ) , great animations program · step aerobic , oriental dance and specially water gym : · ) and at night disco .
8512|I of course recommend Dana Beach !
8513|Beautiful and quiet
8514|This is a beautiful hotel in lovely grounds in a quiet location a couple of miles outside the city of York · to which it is very well connected by park · and · ride bus service .
8515|The atmosphere is delightfully tranquil and relaxing and it was for us a lovely place to return to after a busy day sightseeing in the City .
8516|The rooms are spacious and well · furnished .
8517|Our only criticism would be the bathroom · which is a little small and in need of updating and refreshing .
8518|That said , it is adequate and immaculately clean .
8519|Room service is excellent too .
8520|Likewise , the restaurant is excellent .
8521|We thoroughly enjoyed our stay and would happily return when we visit York again
8522|8th stay
8523|Big hotel area for nearby 300 guests .
8524|Cleanless is very good in all the zones
8525|All Iclusive serice
8526|European people mostly english and german speaking , only few Russian and Polish , middle age .
8527|Many nice changes since my last stay
8528|It was my second Stay at this wonderful hotel and it was just great .
8529|In the few months a lot has been completed and beautified .
8530|The beautifully landscaped grounds , the new children 's playground , just about everything last year was not yet finished .
8531|It has been created from a very pleasant grounds a wonderful facility .
8532|What is also noticed very positive : There were not many Russians in this hotel .
8533|During my time 60 % German , Dutch and Italians of the rest .
8534|Unfortunately , I can only give the maximum number of 6 points , this hotel has earned it in some areas , but the score 8 ! ! ! ! !
8535|Great value for money
8536|It was a great experience for my family to stay in the hotel.The staff was very friendly and helpful.athe amenities which the hotel offers are good value for money.I strongly recommend this hotel and in a future if I visit Bulgaria I will choose it as my hotel again .
8537|Unacceptable
8538|Upon suggestion of hotel manager during our previous visit , last october we booked directly ( not through agency ) to obtain a better price for a 5 day stay and we anticipated half of the cost .
8539|Unfortunately one of us had a serious accident ( with a 10 day stay at hospital ) one week before travel to Hasselt , so we had to cancel our trip .
8540|Upon contacting the hotel one week before trip to cancel reservation we discovered that no refund will be possible while no advice was provided , during reservation , about cancelling policies .
8541|We are very very unhappy about this treatment in such serious situation and after staying there a lot of times .
8542|So in the future no more trips to this hotel will be booked from our association and we suggest all other people to be very careful .
8544|the biggest room in Golden Sands and i think biggest hotel bathroom in Bulgaria .
8545|Quiet , friendly , big beds , free internet , nice pool ... of course i will recommend this hotel to all my friends ..
8546|Good cheap bussiness choice
8547|This is a very good quite cheap hotel next to Trafford Shopping Center .
8548|It is quiet place where you can sleep well and internet is working very fast and reliable but as well thanks to the huge mall you will have chance to buy just couple of steps outside the hotel almost everything as well as taste cusines from all over the world .
8549|In the hotel itself you will find nice restaurant and very good food .
8550|Sausages and mashrooms which are served in the morning are very good .
8551|Receptionists are very helpful and are helping in any request of support .
8552|Terrible stay !
8553|Hotel really modern and minimal .
8554|Check · in quite slow , even if the welcome cocktail was good .
8555|Room modern and nice , but from the toilet comes out sewer smell ... terrible !
8556|Nice pool in the roof top , but the towels have to be collected ONLY in the ground floor ... really uncomfortable !
8557|Lack of private space with sun beds on the front beach .. it 's necessary for a 4 * or 5 * star hotel with front beach !!!
8558|Don 't you think ?
8559|Spa services too expensive .
8560|Not so many restaurants around .
8561|Too pollution in the surrounding streets .
8562|Beachwalk centre for shopping is far 10min for the hotel .
8563|Honestly speaking , don 't try Kuta or Legin area ... too crowded and polluted !
8564|Go to Sanur or Jimbaran .... really better !
8565|Good rest with my mother and my dog
8566|The atmosphere in this hotel is professional and warm at the same time .
8567|There is a forest directly next to the hotel for doggy walks .
8568|The reception was most helpful in every way .
8569|The hotel was clean and well organized .
8570|Parking is of course no problem and the shuttle service is so fantastic I left my car in the hotel parking to take my mother to the airport .
8571|The beds were als not too hard and not too soft : perfect .
8572|I had a bit of trouble adjusting the heating , but help was quick .
8573|The showers are a dream .
8574|I can recommend this hotel to anyone .
8575|By the way I have stayed here for the third time and will do so more .
8576|My mother is BTW 86 years old .
8577|Thank you Steigenberger team !
8578|Great place for business and pleasure !
8579|It was my first visit at the hotel and I have to say that I am very pleased with my experience .
8580|The service was excellent from the very beginning and the organization of the conference I attended was outstanding .
8581|The conference room was spacious and bright , timing was perfect , all the staff knowledgeable and professional !
8582|Being located on the beach and the comfort of the room made my stay that much more enjoyable and the transition from business to pleasure very easy .
8583|After hours of meetings being able to escape into the beauty of Golden Sands in a matter of minutes was something I really appreciated .
8584|I would highly recommend the hotel to all my friends and colleagues visiting the area .
8585|Overall it was a great experience , one I would gladly repeat .
8586|Wishing you a very prosperous New Year .
8587|Steigenberger Airport Hotel
8588|Staying here about 2 · 3 times a year , mostly business .
8589|This time stay was private , with entire family , incl child and Infant ( 3 rooms ) .
8590|All our requests were perfectly handled by saff .
8591|Staff is very capable ; beds are super comfortable ; breakfast buffett is awesome ; airport shuttle service the moct convenient I have ever had .
8592|Two stays
8593|stayed at the itc twice once in a single room during the celebrations for queens dayfor five nights and was very dissapointed with the singke room. was assured that the double room was better so myself and my partner stayed for five nights later in the same month and found the room to be clean comfortable and adequate for what we wanted we did not have the breakfast at the hotel and found this to be the right choice due to the availability of better food locally
8594|Value for money
8595|Food was excellent , I only missed good coffee .. I enjoyed especially home made pastry and cakes .
8596|"Also "" fitness "" choice of food every evening was very good ."
8597|The swimming pool for families with children and another one for a relax .
8598|The bikes which we could take for a short trip were in very bad conditions .
8599|I can recommend this hotel .
8600|Budget hotel at the Terminale Centrale , Milan
8601|This hotel is located a couple of blocks from the central Railway station in Milan , Italy , called Terminal Centrale .
8602|This budget hotel is in a generally OK condition , the room and the bathroom were in a good shape .
8603|Given the fact that it is located at a major intersection the noise level was higher than usual .
8604|The only bad thing was , that the restaurant area and the breakfast was really poor quality , and they even charged us despite the fact that we had that covered in the reservations .
8605|"After complaining at the check out , it was obvious that the receptionist will not confirm what the "" check · in "" receptionist already did , that our reservation covers the breakfast as well !"
8606|A design hotel in an edgy area of Paris
8607|This was one of the most interesting hotels I 've stayed ever , in a district of Paris not commonly on the tourist map , but still just a short walk away from Montmartre and Gare du Nord for Eurostar and other high · speed rail connections and airport RER line B , this hotel was a great discovery for us .
8608|The rooms are fabulous , with simplistic design , and there are no keys , rather fingerprints let you through to you room .
8609|The bar is great , food is brilliant , and there is a small gym in the basement for a morning work out .
8610|Breakfast is highly recommended also , as are drinks in the ( rather pricy ) bar .
8611|Great hospitality
8612|We had an excellent vacation , nothing but credit .
8613|The staff was really great and the service was superb .
8614|A lot of food with good local products , a nice place to relax , a paradise .
8615|We enjoyed the all · in as well and can be recommended .
8616|Rent a car , cycling as well or to visit the mountain village of Agia marina.Chania and especially this hotel have stolen our hearts .
8617|We are looking forward to hear Calimera everywhere again and to enjoy the really great hospitality of these people .....
8618|Its a good Hotel with nice rooms .
8619|We hade a bigger room with a place to relax and sit down .
8620|We really liked that .
8621|Service was good and friendly , the room was cleaned every day !
8622|The only thing we could eat at the hotel was breakfast , which in my opinion was a little bit expensive .
8623|Crowded , noisy , smelly , unfriendly .
8624|This place is just awful .
8625|Marseillan plage is a really dirty place .
8626|Don 't go here if you want a quiet relaxing holiday .
8627|The bar at the campsite plays very loud music every night till midnight .
8628|Then you get all the wasted yobs going back to their tents for an all night party .
8629|Wish I 'd brought a set of ear plugs .
8630|Our pitch smelt of sewage so didn 't do any cooking .
8631|Our neighbours were a group of racist French Chavs who made it clear to us we weren 't welcome .
8632|The beaches and swimming pools were totally jammed .
8633|We complained to the campsite but they were unfriendly and weren 't interested .
8634|We left after 2 days wish we 'd gone sooner .
8635|AVOID !!!!
8636|Melia is the best hotel in Bulgaria !
8637|This is oyr 10th time in Bulgaria but for sure the best one !
8638|Melia is the best hotel !
8639|The biggest room in Bulgaria with lovely sea view .
8640|Already booked our next visit in 2013 .
8641|We recommend it to everybody !
8642|The staff was very friendly , the beach is 2 minutes walking and the sea is great !
8643|The food was good as well , though the waiters were a bit tired .
8644|Everybody speaks Russian and it is very easy to get informed if you need something .
8645|Thank you , Melia !
8646|Will come back for sure !
8647|Great location but no !
8648|I would not go back !
8649|I stayed there for a business trips with several other colleagues .
8650|"I had a studio room with a "" kitchen "" ... Well the kichen was old , gross and kind in a "" cupboard "" ."
8651|Not a lot of space in the room ( a general issue in Paris anyway ) and an old bathroom .
8652|Breakfast is brought to the room , quality is very poor ( better of going out to grab a croissant ... ) .
8653|Service is not reliable : several mistakes made in the orders ( happened to me and some colleagues .. tea instead of coffee , no show , getting 2 breakfasts instead of 1 ... ) .
8654|Definetely to be avoided except if you want to be near the Arc de Trimphe and Champs Elysees but there are better options around .
8655|Excellent location , everthing at walking distance
8656|Excellent location for this stylish hotel .
8657|Deira City Center shoping mall is across the street and a metro station is just outside the entrance of hotel .
8658|Everything you need is there at walking distance .
8659|Very good kitchen and nice pub .
8660|The swimming pool is quite small , so don 't look forward a resort · type structure .
8661|It is more a city hotel with all the comforts .
8662|Very attentive and courtesious staff , but I would suggest the management a more careful selection of suppliers of desert trips .
8663|I have done dozens of those , always very fulllfilling , but this one was a bad experience .
8664|Not at Meridien 's level .
8665|Save that , I definitely recommend the hotel .
8666|City break in Las Vegas
8667|We stayed at the hotel just for one night during our sightseeing trip to USA .
8668|We were very satisfied with the hotel .
8669|The price was amazing , the service perfect .
8670|The hotel provides free shuttle taxi to different places on the Strip , rooms are quite spacious and modern .
8671|Complimentary breakfast served in the lobby was good .
8672|Absolutely amazing for the price we paid !
8673|Good hotel , no complaints
8674|As a young couple the hotel gave us what we expected .
8675|Clean room. helpful staff. a nice balcony with sea view .
8676|directly next to the hotel a really good pizzeria .
8677|Unfortutanely the beach is 95 % private and no sandbeach , which of course is not the hotels fault .
8678|All comfort Resort
8679|A very nice Resort with 100 % comfort .
8680|Clean , nice friendly polite people .
8681|All the services were great .
8682|After a long day trip to Luxor we still could have a dinner because it 's possible until 24.00 .
8683|The next day we used the late · breakfast .
8684|Superb .
8685|Big variety of nationality and age .
8686|Beautiful surroundings , nice beach , friendly staff
8687|Unfortunately , I do not so much speak English , to comment and to review the hotel without errors .
8688|Overall , I liked the rest .
8689|One note · I would like a more fun evening at the hotel .
8690|I would also like to in the rooms was free water
8691|Good !
8692|Brilliant holiday except from the food the food was diabolical .
8693|Apart from the food my holiday was brilliant all because of alanani rocko axaha and the sandman wagdy helal !
8694|i couldn 't go back 2 this hotel because i had hardly eaten all holiday
8695|alanani , rocko and axaha should be working in a five star hotel because they were brilliant !
8701|Great holiday with an awesome animation team
8702|It 's a great holiday resort to go to I recommend it to anybody !
8703|Gemma and Aimee in the animation team really took care of us whilst we were there and it was a really good help the rest of the animation team were also great : ) food was lovely could of had abit more variety on some days but was very nice food .
8704|Nothing to complain about with the hotel or the room or pool etc was a lovely get away with some great people and some really friendly and helpful staff in the animation team .
8705|The hotel staff were also great .
8706|Sun & relax for families
8707|"what made the difference for us was the miniclub , the two girls Tanja and Emmy are really good , we were with our daughter , not yet 4 , but she was always looking forward to hear the girl calling "" miiiini cluuub "" ."
8708|she had fun and we had our deserved rest
8709|the girls organized even our daughter birthday party , very nice .
8710|all the evenings after dinner mini mini minidisco ya ya ho .... half an hour of crazy dancing and the kids were ready to sleep ...
8711|the food is really good and available all day long ( I 'm a picky italian ) , as well as the drinks , there is a good espresso at the columbus bar .
8712|Looks definitely don 't mean anything
8713|The reception area looks very good , and almost newly decorated .
8714|The outside looks dated , but in a good enough state .
8715|This doesn 't describe the state of the rooms themselves though .
8716|The hotel offers Wireless Internet for an additional € 15 Euros for 24 hours , which is okay , but in my opinion should be free nowadays .
8717|The other guests that I have seen were labourers probably from one of our eastern European countries and working in Paris ; in addition I have to say that I also have stayed in 4 and 5 star hotels where people look fine , but from personality are far worse .
8718|Looks definitely don 't mean anything !
8719|Hip elegance in Louise area of Brussels
8720|The Hotel is clean , modern and hip .
8721|Dark , loungy feel in the lobby , hushed and modern in the halls and rooms .
8722|Appears that the hotel was recently renovated and done so with style and attention to detail .
8723|My basic room had robe and slippers , Nespresso machine and free minibar drinks .
8724|Staff were friendly .
8725|Free gym was ample and spa available though I didn 't use it .
8726|The location is excellent situated at the end of Avenue Louise with lots of fancy shops and restaurants are close by .
8727|Also not far from the Sablon and downtown , so overall very well located .
8728|I would certainly stay here again .
8729|Airport shuttle is not complimentary
8730|To the hotel from the hotel , the shuttle bus is gratis .
8731|But from the hotel to the airport there are some strict rules at this hotel .
8732|1 .
8733|Pre · Booking is a must
8734|2 .
8735|But the ticket at the hotel ( bus driver does not sell the ticket )
8736|3 .
8737|No information provided for the above at the reception unless you ask for that .
8738|Many people are pull out of the shuttle bus because of this .
8739|A basic experience
8740|I arrived late at night .
8741|The receptionist was friendly and took all the trouble to help me .
8742|I didn 't go to the bar , but went directly to my bed and slept till 7.30 AM next morning .
8743|hte bathing facilities were good .
8744|My breakfast was more than sufficient .
8745|I checked out .
8746|Again an very vriendly receptionist .
8747|Thers is nothing more I can tell you .
8748|I didn 't see much of the hotel or the facilities .
8749|I only went to bede there
8750|Review Koeln Dorint an der Messe
8751|We had an affordable upgrade to a maisonette .
8752|Great choice .
8753|Quiet , large , feeling of luxury .
8754|Nice sauna area .
8755|Staff at reception and breakfast was excellent ± helpful , friendly and polite .
8756|We will certainly come back next year when we have another event at Lanxess Arena
8762|Nice hotel
8763|Spacious room and modern style ( not old like in other polish hotel )
8764|Staff well prepared and kind .
8765|Good quality breakfast .
8766|Wi · fi Free and good conncetion .
8767|We tried the restaurant , good quality food but service really really slow , despite not so many people to serve
8768|Spoiled the impression of the trip
8769|Terrible hotel !
8770|Тhis is not a four star hotel .
8771|Rooms do not correspond to the pictures , very old furniture , faded linens , creaky bed , a disgusting smell in the room , even though we asked for when booking a non smoking room .
8772|After the check · out , we left our bag in the luggage at the front desk .
8773|After we returned the desk clerk said that they gave our luggage to others .
8774|We had to go to the police and to write a statement .
8775|In the end we went home without our things .
8776|After 33 days !!
8777|our departure , the hotel sent us our bag , but there 's no a few personal belongings worth about 200 euros !
8778|Dana Beach Resort
8779|Second time staying at Dana Beach Resort , there same time last year .
8780|Resort / rooms clean and tidy .
8781|Excellent selection of food , choice of restaurants and bars .
8782|Staff cannot do enough for you .
8783|Frankfurt 's finest !
8784|The Frankfurter Hof is surrounded by some of Europe 's most impressive skyscrapers .
8785|The building itself is only a few stories tall , but still it manages to impress with it 's classical palace · like architecture .
8786|The main entrance is a small letdown .
8787|One would expect to enter the building through the front gate .
8788|Instead , the entrance is a small door on the side of the building .
8789|Once inside , the elegance and atmosphere of the lobby will quickly remind you why you chose this hotel .
8790|Dog friendly
8791|We was there with two dogs , fine areas to take the dogs out for walk and dogs very welcome , even in the restaurant .
8792|Short drive to Amsterdam RAI .
8793|Quietly place and god parking areas .
8794|Staff very helpful .
8795|I would like to go byack write now
8796|Nice hotel in big territory , not on big builnding but smaller houses from the reception building till the seaside .
8797|The best all inclusive service I have ever experienced in Egypt .
8798|Very clean everywhere .
8799|Mainly German guests .
8800|Great place , friendly and efficient staff
8801|stayed for a weekend , good location between village and beach , accepts dogs · a must for us , great staff , very helpful
8802|the car park gets a little busy when there is a function on , but all worked out with a bit of cooperation ; the breakfast times are fine during the week but I would have preferred a little later cut off on Sunday · again the staff sorted it to everýone 's satisfaction .
8803|We had a groundfloor room so access for my scootmobile was no problem and parking of the scootmobile was also sorted without any fuss · a great team , staff and management .
8804|OK hostel
8805|We decided to go to Barcelona just on the spoor of the moment : bought plane tickets just one week before .
8806|There were no many hostels still available .
8807|The hotel is new and nicely designed , however it doesn 't have such a hostel atmosphere .
8808|The common area is very small .
8809|The room we stayed in was unbelievable small .
8810|It was a 6 · person dorm , but I think it was originally designed to be a 4 · person one .
8811|Wasn 't that easy to move around .
8812|Breakfasts aren 't included in the price , however there is a supermarket just next door , so you can grab something to eat there .
8813|A nice hotel , good food
8814|animation team super only old equipment
8815|nice shows and enterainment
8816|good food nice people
8817|swimmingpool super , good area and chears
8818|drinks super nice coktails
8819|busses to the beache and drinks at al time
8820|Good location but some services can be better
8821|My room was very clean and the air condition worked well .
8822|I had a double room for single occupation so enough area for one person at least .
8823|At that novotel was not offering WIFI for free except in the lobby area so I had to go there for using the interenet which was evry slow in November 2011 .
8824|That might have changed now .
8825|I was very disapointed by the breakfast services as I asked for a double expresso instead of the normal filter coffe they wanted to charge me for that ...
8826|Fine classic hotel but service needs to be improved
8827|First time with a VIP group in this hotel , I had high expectations about this heritage style hotel .
8828|The hotel itself is fine , but the staff and service level was below standard .
8829|It started that we had to argue to enter with the coach the parking area in front in order to off · load luggage .
8830|Handing out the keys was slow motion and ineffecient .. At breakfast guests had to ask twice for coffee / tea , used plates remained too long on the tables .
8831|Questions by my group members were answered politely but not being of help and not offering a solution .
8832|On the other side the hotel building is full of character and charme
8833|Weihnacht markt weekend
8834|i was there wiht my wife and brother and his wife , we stay there for 1 night
8835|and it was great and nice good people in the hotel and very friendly and helpfull
8836|and the weihnacht markt was very nice like always ! ! !
8837|very good hotel ! !
8838|Such a lovely hotel , everything was excellent
8839|the hotel rooms were excellent and the bathrooms were large , very clean , the food had such a variety .
8840|I am british and I went with my friends ( 4 ) and the ages ranged from 35 to 65
8841|Fantastic and luxury place .
8842|I was second time in Egypt .
8843|Sunrise Mamlouk is very lovely hotel with interesting architecture an beautiful gardens , the atmosphere was amazing , comfortable room , the food very tasty , and relaxing music in the restaurant .
8844|The waiters from Lobby Bar Mina , Weal and Milad Restaurant bar were realy reliable , helpful and litle bit serious .
8845|Very important was for me active rest during holiday.My expectations about that meet team of animators , especially : Aldo and Negga and girls of aerobic.They are proffesional , creative and always smiling young people.The animation team are have positive attitude to life and doing good job in hotel .
8846|Thanks to you , we came back tp Poland satisfied and relaxed .
8847|Overnight stay in Amsterdam
8848|Just what we were looking for .
8849|The hotel had free parking and was near a subway station that brought you straight to the city center .
8850|So no worries about were to park .
8851|Clean and renewed room ( you could still smell the new in the hall ) .
8852|The perfect resort for the perfect holiday
8853|It was a perfect choice for wonderful holidays !
8854|The service was marvellous !
8855|The staff 's foreign languages and general competences were excellent .
8856|The hotel offered great leisure activities .
8857|THE BEST ANIMATIONS which I 've ever seen · especially water gym with Sasha and kuku ! ! !
8858|This man is amazing · very funny and friendly for hotel guests .
8859|I 'll come back here next year !
8861|Hotel is placed about 30 minutes from center of Paris · metro line 12 .
8862|Area around is awful .
8863|Lot of homeless .
8864|We was afraid about our safe .
8865|Metro is located about 5 · 7 minutes from hotel .
8866|Near by hotel is lot of trash throw all over the place , we saw also death rat at the street !
8867|Room was not hoovered even 1 tine during 5 days , so it shouldn 't happened .
8868|Please avoid to be there .
8869|All was good and i would come again to visit
8870|everything was alright , by the way , i would come again , if i travel to egypt. the hotel manager is very friendly and helpfull. also the service of the staff , good work
8871|friendly greetz
8872|Come only when you are a family with lots of kids !
8873|This was a weird stay .
8874|Tho Hotel it 's self was okay .
8875|There were just ALOT of people .
8876|Seemed like the staff couldn 't handle the amount of people .
8877|The food was DELICIOUS · one you got to it .
8878|The pool area is crowded as hell .
8879|No room there .
8880|Very loud music .
8881|The beach was very nice .
8882|Water was very clean .
8883|Room cleaning was terrible .
8884|Complaints handling took hours .
8885|Only go when you like ALOT of people .
8886|: )
8887|Our best holiday to date
8888|We spent 5days touring Sri Lanka and 7 days at the Club Hotel Dolphin in what can only be described as our best holiday to dat .
8889|My husaband and i travelled with our 2 adult children and their partner and the holiday was all we could have hoped for with beautiful surroundings , attentive but not intrusive staff and excellent food .
8890|The rooms were excellent and the standard of cleanliness impeccable .
8891|The kids room were on the beach although ours was set further back and a little hemmed in but as we weren 't in the room for long it wasn 't a problem .
8892|We were evacuated due to a tsunami warning , during our stay and the staff dealt with the situation calmly and professionally at all times. we were kept informed and supplied with food and drink until we were able to return to the hotel .
8893|A wonderful holiday
8902|Good 4 stars hotel
8903|The Empire Palace is a good 4 stars hotel .
8904|Good staff , comfortable bed and great breakfast .
8905|Both room and bathroom were a bit small though .
8906|It ’s within walking distance of Rome ’s most important sights .
8907|Great Hotel !
8908|The Hotel Gilde in Deventer , NL on Niuewstraat is the best hotel I have ever been in !
8909|I travel the world and have never seen such a friendly and professional staff !
8910|Every need is attended to very quickly and happily .
8911|The food is good .
8912|The rooms are nice and every part of the hotel bright and clean , the gardens and hotel are beautiful !
8913|The hotel Manager , Michel stays on top of everything , leads by example and has a well trained staff .
8914|I have been treated like family since I have been staying here ( 2 months ) .
8915|There is no other hotel in Deventer for me but The Gilde .
8916|I would recommend this hotel to everyone , business travellers and families !
8917|Hotel Tornese ever !
8918|I am a customer of this hotel for over 10 years , but I have never experienced such a miserable service this year .
8919|For years we enmenons friends and family with us , but this is the last time !
8920|The hotel Tornese lost regular customers !
8921|Value for money in Derby
8922|I stayed at the attic room which is the cheapest available in Rangemoor Park Hotel .
8923|It is a very small room that is not very pretty , but the sheets were clean and the bed comfy .
8924|There is a washbasin in the room and also a kettle with tea and coffee provided and replenished during service .
8925|Shared shower and toilets are down the ( very steep ) stairs and also clean .
